Number of clusters: 2636
Average cluster size: 17.83
Cluster: BGC0002977.1, Number of genes: 4117
Cluster: BGC0000979.3, Number of genes: 3
Cluster: BGC0000980.3, Number of genes: 3
Cluster: BGC0001023.5, Number of genes: 3
Cluster: BGC0001168.5, Number of genes: 3
Cluster: BGC0001198.3, Number of genes: 3
Cluster: BGC0001217.5, Number of genes: 3
Cluster: BGC0001238.3, Number of genes: 3
Cluster: BGC0001239.3, Number of genes: 3
Cluster: BGC0001266.3, Number of genes: 3
Cluster: BGC0001390.3, Number of genes: 3
Cluster: BGC0001434.3, Number of genes: 3
Cluster: BGC0001535.3, Number of genes: 3
Cluster: BGC0001601.3, Number of genes: 3
Cluster: BGC0001616.3, Number of genes: 3
Cluster: BGC0001629.3, Number of genes: 3
Cluster: BGC0001668.4, Number of genes: 3
Cluster: BGC0001679.3, Number of genes: 3
Cluster: BGC0001748.4, Number of genes: 3
Cluster: BGC0001757.3, Number of genes: 3
Cluster: BGC0001806.4, Number of genes: 3
Cluster: BGC0001874.4, Number of genes: 3
Cluster: BGC0001876.2, Number of genes: 3
Cluster: BGC0001887.3, Number of genes: 3
Cluster: BGC0001924.3, Number of genes: 3
Cluster: BGC0001948.3, Number of genes: 3
Cluster: BGC0001969.3, Number of genes: 3
Cluster: BGC0002043.3, Number of genes: 3
Cluster: BGC0002127.3, Number of genes: 3
Cluster: BGC0002150.2, Number of genes: 3
Cluster: BGC0002151.2, Number of genes: 3
Cluster: BGC0002155.3, Number of genes: 3
Cluster: BGC0002157.2, Number of genes: 3
Cluster: BGC0002195.2, Number of genes: 3
Cluster: BGC0002226.3, Number of genes: 3
Cluster: BGC0002228.3, Number of genes: 3
Cluster: BGC0002236.2, Number of genes: 3
Cluster: BGC0002238.3, Number of genes: 3
Cluster: BGC0002306.2, Number of genes: 3
Cluster: BGC0002345.2, Number of genes: 3
Cluster: BGC0002398.2, Number of genes: 3
Cluster: BGC0002400.2, Number of genes: 3
Cluster: BGC0002458.3, Number of genes: 3
Cluster: BGC0002469.2, Number of genes: 3
Cluster: BGC0002530.2, Number of genes: 3
Cluster: BGC0002538.3, Number of genes: 3
Cluster: BGC0002555.3, Number of genes: 3
Cluster: BGC0002617.2, Number of genes: 3
Cluster: BGC0002622.2, Number of genes: 3
Cluster: BGC0002631.2, Number of genes: 3
Cluster: BGC0002644.2, Number of genes: 3
Cluster: BGC0002706.2, Number of genes: 3
Cluster: BGC0002765.2, Number of genes: 3
Cluster: BGC0002965.1, Number of genes: 3
Cluster: BGC0002967.1, Number of genes: 3
Cluster: BGC0002969.1, Number of genes: 3
Cluster: BGC0002970.1, Number of genes: 3
Cluster: BGC0003017.1, Number of genes: 3
Cluster: BGC0003029.1, Number of genes: 3
Cluster: BGC0003063.1, Number of genes: 3
Cluster: BGC0003065.1, Number of genes: 3
Cluster: BGC0003072.1, Number of genes: 3
Cluster: BGC0003083.1, Number of genes: 3
Cluster: BGC0003085.1, Number of genes: 3
Cluster: BGC0003119.1, Number of genes: 3
Cluster: BGC0003141.1, Number of genes: 3
Cluster: BGC0000013.3, Number of genes: 2
Cluster: BGC0000041.3, Number of genes: 2
Cluster: BGC0000308.5, Number of genes: 2
Cluster: BGC0000426.5, Number of genes: 2
Cluster: BGC0000465.4, Number of genes: 2
Cluster: BGC0000505.3, Number of genes: 2
Cluster: BGC0000532.3, Number of genes: 2
Cluster: BGC0000647.3, Number of genes: 2
Cluster: BGC0000658.3, Number of genes: 2
Cluster: BGC0000659.3, Number of genes: 2
Cluster: BGC0000660.5, Number of genes: 2
Cluster: BGC0000849.4, Number of genes: 2
Cluster: BGC0000900.5, Number of genes: 2
Cluster: BGC0000910.3, Number of genes: 2
Cluster: BGC0000911.3, Number of genes: 2
Cluster: BGC0000912.3, Number of genes: 2
Cluster: BGC0000920.3, Number of genes: 2
Cluster: BGC0000948.5, Number of genes: 2
Cluster: BGC0001050.5, Number of genes: 2
Cluster: BGC0001133.4, Number of genes: 2
Cluster: BGC0001161.5, Number of genes: 2
Cluster: BGC0001162.3, Number of genes: 2
Cluster: BGC0001163.3, Number of genes: 2
Cluster: BGC0001187.4, Number of genes: 2
Cluster: BGC0001201.3, Number of genes: 2
Cluster: BGC0001310.5, Number of genes: 2
Cluster: BGC0001681.3, Number of genes: 2
Cluster: BGC0001682.3, Number of genes: 2
Cluster: BGC0001685.3, Number of genes: 2
Cluster: BGC0001809.3, Number of genes: 2
Cluster: BGC0001844.4, Number of genes: 2
Cluster: BGC0001873.3, Number of genes: 2
Cluster: BGC0002071.2, Number of genes: 2
Cluster: BGC0002084.4, Number of genes: 2
Cluster: BGC0002099.3, Number of genes: 2
Cluster: BGC0002162.3, Number of genes: 2
Cluster: BGC0002163.3, Number of genes: 2
Cluster: BGC0002171.2, Number of genes: 2
Cluster: BGC0002240.3, Number of genes: 2
Cluster: BGC0002249.2, Number of genes: 2
Cluster: BGC0002275.2, Number of genes: 2
Cluster: BGC0002320.3, Number of genes: 2
Cluster: BGC0002331.2, Number of genes: 2
Cluster: BGC0002337.2, Number of genes: 2
Cluster: BGC0002391.2, Number of genes: 2
Cluster: BGC0002397.2, Number of genes: 2
Cluster: BGC0002518.3, Number of genes: 2
Cluster: BGC0002610.3, Number of genes: 2
Cluster: BGC0002640.2, Number of genes: 2
Cluster: BGC0002723.2, Number of genes: 2
Cluster: BGC0002725.3, Number of genes: 2
Cluster: BGC0002736.2, Number of genes: 2
Cluster: BGC0002751.2, Number of genes: 2
Cluster: BGC0002926.1, Number of genes: 2
Cluster: BGC0002995.1, Number of genes: 2
Cluster: BGC0003043.1, Number of genes: 2
Cluster: BGC0003073.1, Number of genes: 2
Cluster: BGC0003079.1, Number of genes: 2
Cluster: BGC0003084.1, Number of genes: 2
Cluster: BGC0000037.4, Number of genes: 1
Cluster: BGC0000064.4, Number of genes: 1
Cluster: BGC0000099.3, Number of genes: 1
Cluster: BGC0000107.3, Number of genes: 1
Cluster: BGC0000307.4, Number of genes: 1
Cluster: BGC0000342.4, Number of genes: 1
Cluster: BGC0000357.5, Number of genes: 1
Cluster: BGC0000476.3, Number of genes: 1
Cluster: BGC0000478.4, Number of genes: 1
Cluster: BGC0000482.4, Number of genes: 1
Cluster: BGC0000492.3, Number of genes: 1
Cluster: BGC0000493.3, Number of genes: 1
Cluster: BGC0000562.3, Number of genes: 1
Cluster: BGC0000621.3, Number of genes: 1
Cluster: BGC0000683.3, Number of genes: 1
Cluster: BGC0000848.5, Number of genes: 1
Cluster: BGC0001128.4, Number of genes: 1
Cluster: BGC0001132.4, Number of genes: 1
Cluster: BGC0001134.5, Number of genes: 1
Cluster: BGC0001135.5, Number of genes: 1
Cluster: BGC0001160.5, Number of genes: 1
Cluster: BGC0001164.3, Number of genes: 1
Cluster: BGC0001166.5, Number of genes: 1
Cluster: BGC0001181.4, Number of genes: 1
Cluster: BGC0001240.4, Number of genes: 1
Cluster: BGC0001244.3, Number of genes: 1
Cluster: BGC0001248.3, Number of genes: 1
Cluster: BGC0001249.5, Number of genes: 1
Cluster: BGC0001250.4, Number of genes: 1
Cluster: BGC0001251.4, Number of genes: 1
Cluster: BGC0001252.4, Number of genes: 1
Cluster: BGC0001254.3, Number of genes: 1
Cluster: BGC0001257.3, Number of genes: 1
Cluster: BGC0001258.3, Number of genes: 1
Cluster: BGC0001261.3, Number of genes: 1
Cluster: BGC0001268.4, Number of genes: 1
Cluster: BGC0001273.3, Number of genes: 1
Cluster: BGC0001275.3, Number of genes: 1
Cluster: BGC0001276.3, Number of genes: 1
Cluster: BGC0001284.4, Number of genes: 1
Cluster: BGC0001454.5, Number of genes: 1
Cluster: BGC0001481.3, Number of genes: 1
Cluster: BGC0001527.3, Number of genes: 1
Cluster: BGC0001641.4, Number of genes: 1
Cluster: BGC0001642.3, Number of genes: 1
Cluster: BGC0001680.3, Number of genes: 1
Cluster: BGC0001746.3, Number of genes: 1
Cluster: BGC0001758.4, Number of genes: 1
Cluster: BGC0001825.4, Number of genes: 1
Cluster: BGC0001833.4, Number of genes: 1
Cluster: BGC0002075.3, Number of genes: 1
Cluster: BGC0002135.2, Number of genes: 1
Cluster: BGC0002154.2, Number of genes: 1
Cluster: BGC0002164.2, Number of genes: 1
Cluster: BGC0002174.2, Number of genes: 1
Cluster: BGC0002175.3, Number of genes: 1
Cluster: BGC0002176.3, Number of genes: 1
Cluster: BGC0002191.2, Number of genes: 1
Cluster: BGC0002192.3, Number of genes: 1
Cluster: BGC0002193.2, Number of genes: 1
Cluster: BGC0002274.2, Number of genes: 1
Cluster: BGC0002276.2, Number of genes: 1
Cluster: BGC0002277.2, Number of genes: 1
Cluster: BGC0002286.3, Number of genes: 1
Cluster: BGC0002341.2, Number of genes: 1
Cluster: BGC0002576.2, Number of genes: 1
Cluster: BGC0002608.2, Number of genes: 1
Cluster: BGC0002708.2, Number of genes: 1
Cluster: BGC0002750.2, Number of genes: 1
Cluster: BGC0002786.1, Number of genes: 1
Cluster: BGC0002846.1, Number of genes: 1
Cluster: BGC0002861.1, Number of genes: 1
Cluster: BGC0002865.1, Number of genes: 1
Cluster: BGC0002884.1, Number of genes: 1
Cluster: BGC0002911.1, Number of genes: 1
Cluster: BGC0002929.1, Number of genes: 1
Cluster: BGC0002993.1, Number of genes: 1
Cluster: BGC0003000.1, Number of genes: 1
Cluster: BGC0003024.1, Number of genes: 1
Cluster: BGC0003053.1, Number of genes: 1
Cluster: BGC0003058.1, Number of genes: 1
Cluster: BGC0003082.1, Number of genes: 1
Cluster: BGC0003115.1, Number of genes: 1
Cluster: BGC0003137.1, Number of genes: 1
Cluster: BGC0003140.1, Number of genes: 1
Cluster: BGC0003152.1, Number of genes: 1
Cluster: BGC0003157.1, Number of genes: 1
Cluster: BGC0003158.1, Number of genes: 1
Cluster: BGC0003159.1, Number of genes: 1
